Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.pdfbox.cos.TestCOSFloat.DoubleValueTester,3,2,1,0,6,1
org.apache.pdfbox.cos.TestCOSFloat.FloatValueTester,3,2,1,0,4,1
org.apache.pdfbox.cos.TestCOSFloat.HashCodeTester,3,2,1,0,7,1
org.apache.pdfbox.cos.TestCOSFloat.IntValueTester,3,2,1,0,4,1
org.apache.pdfbox.cos.TestCOSFloat.LongValueTester,3,2,1,0,4,1
org.apache.pdfbox.cos.TestCOSFloat.WritePDFTester,4,2,1,0,16,2
org.apache.pdfbox.cos.TestCOSInteger,5,5,10,0,34,18
org.apache.pdfbox.cos.TestCOSName,5,1,1,0,17,1
org.apache.pdfbox.cos.TestCOSNumber,6,4,7,2,18,3
org.apache.pdfbox.cos.TestCOSStream,8,3,1,0,32,11
org.apache.pdfbox.cos.TestCOSString,4,4,9,0,57,21
org.apache.pdfbox.cos.TestCOSUpdateInfo,3,1,1,0,9,1
org.apache.pdfbox.cos.UnmodifiableCOSDictionary,4,3,30,0,33,31
org.apache.pdfbox.debugger.PDFDebugger,64,6,2,0,284,165
org.apache.pdfbox.debugger.PDFDebugger.DocumentOpener,3,1,1,2,10,4
org.apache.pdfbox.debugger.colorpane.CSArrayBased,5,1,1,0,18,15
org.apache.pdfbox.debugger.colorpane.CSDeviceN,6,1,2,0,32,6
org.apache.pdfbox.debugger.colorpane.CSIndexed,8,1,2,0,37,6
org.apache.pdfbox.debugger.colorpane.CSSeparation,3,1,1,0,51,10
org.apache.pdfbox.debugger.colorpane.ColorBarCellRenderer,2,1,1,0,4,1
org.apache.pdfbox.debugger.colorpane.DeviceNColorant,2,1,3,0,7,7
org.apache.pdfbox.debugger.colorpane.DeviceNTableModel,3,2,2,0,9,13
org.apache.pdfbox.debugger.colorpane.IndexedColorant,2,1,2,0,13,7
org.apache.pdfbox.debugger.colorpane.IndexedTableModel,3,2,2,0,9,14
org.apache.pdfbox.debugger.flagbitspane.AnnotFlag,5,2,2,0,16,4
org.apache.pdfbox.debugger.flagbitspane.EncryptFlag,5,2,2,0,14,4
org.apache.pdfbox.debugger.flagbitspane.FieldFlag,4,2,1,0,12,15
org.apache.pdfbox.debugger.flagbitspane.Flag,7,1,4,6,4,1
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane,12,1,1,0,16,9
org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView,1,1,1,0,19,4
org.apache.pdfbox.debugger.flagbitspane.FontFlag,5,2,2,0,15,4
org.apache.pdfbox.debugger.flagbitspane.PanoseFlag,7,2,5,0,31,16
org.apache.pdfbox.debugger.flagbitspane.SigFlag,6,2,2,0,8,4
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingPaneController,12,1,1,0,12,6
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView,4,1,2,0,30,7
org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.GlyphCellRenderer,3,1,1,0,37,8
org.apache.pdfbox.debugger.fontencodingpane.FontPane,4,1,2,3,8,3
org.apache.pdfbox.debugger.fontencodingpane.SimpleFont,8,2,3,0,25,7
org.apache.pdfbox.debugger.fontencodingpane.Type0Font,13,2,2,0,29,15
org.apache.pdfbox.debugger.fontencodingpane.Type3Font,17,2,3,0,64,17
org.apache.pdfbox.debugger.hexviewer.ASCIIPane,6,4,2,0,24,9
org.apache.pdfbox.debugger.hexviewer.AddressPane,3,4,1,0,17,9
org.apache.pdfbox.debugger.hexviewer.HexChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.debugger.hexviewer.HexChangedEvent,3,1,2,0,3,3
org.apache.pdfbox.debugger.hexviewer.HexEditor,9,5,1,0,58,14
org.apache.pdfbox.debugger.hexviewer.HexModel,11,1,3,0,26,24
org.apache.pdfbox.debugger.hexviewer.HexModelChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.debugger.hexviewer.HexModelChangedEvent,4,1,2,0,3,3
org.apache.pdfbox.debugger.hexviewer.HexPane,9,5,9,0,75,51
org.apache.pdfbox.debugger.hexviewer.HexView,8,1,1,0,18,5
org.apache.pdfbox.debugger.hexviewer.SelectEvent,3,1,2,0,3,3
org.apache.pdfbox.debugger.hexviewer.SelectionChangeListener,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.debugger.hexviewer.StatusPane,2,5,1,0,13,3
org.apache.pdfbox.debugger.hexviewer.UpperPane,2,5,1,0,11,3
org.apache.pdfbox.debugger.pagepane.PagePane,27,1,6,0,114,46
org.apache.pdfbox.debugger.pagepane.PagePane.RenderWorker,9,2,1,0,26,3
org.apache.pdfbox.debugger.streampane.OperatorMarker,1,1,1,0,11,3
org.apache.pdfbox.debugger.streampane.Stream,10,1,3,0,47,24
org.apache.pdfbox.debugger.streampane.StreamImageView,6,1,2,0,55,10
org.apache.pdfbox.debugger.streampane.StreamPane,11,1,2,0,50,18
org.apache.pdfbox.debugger.streampane.StreamPane.DocumentCreator,18,2,1,0,62,39
org.apache.pdfbox.debugger.streampane.StreamPaneView,5,1,1,0,13,4
org.apache.pdfbox.debugger.streampane.StreamTextView,4,1,3,0,32,11
org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip,6,1,4,4,13,6
org.apache.pdfbox.debugger.streampane.tooltip.FontToolTip,6,1,2,0,15,7
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip,2,2,1,0,7,3
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip,3,2,1,0,19,7
org.apache.pdfbox.debugger.streampane.tooltip.RGToolTip,2,2,1,0,7,3
org.apache.pdfbox.debugger.streampane.tooltip.SCNToolTip,6,2,1,0,15,5
org.apache.pdfbox.debugger.streampane.tooltip.ToolTip,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController,12,1,1,0,30,21
org.apache.pdfbox.debugger.stringpane.StringPane,3,1,3,0,19,7
org.apache.pdfbox.debugger.treestatus.TreeStatus,10,1,2,0,47,26
org.apache.pdfbox.debugger.treestatus.TreeStatusPane,2,1,1,0,29,9
