,Class,DIT,LCOM,RFC,WMC,Version
5845,org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,2.0,2.0,3,4.0,2.0.30
5846,org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,2.0,2.0,3,5.0,2.0.30
5847,org.apache.pdfbox.contentstream.operator.markedcontent.DrawObject,2.0,2.0,15,7.0,2.0.30
5848,org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,2.0,2.0,3,2.0,2.0.30
5849,org.apache.pdfbox.contentstream.operator.state.Concatenate,2.0,2.0,11,4.0,2.0.30
5850,org.apache.pdfbox.contentstream.operator.state.EmptyGraphicsStackException,4.0,0.0,2,1.0,2.0.30
5851,org.apache.pdfbox.contentstream.operator.state.Restore,2.0,2.0,5,3.0,2.0.30
5852,org.apache.pdfbox.contentstream.operator.state.Save,2.0,2.0,3,2.0,2.0.30
5853,org.apache.pdfbox.contentstream.operator.state.SetFlatness,2.0,2.0,9,4.0,2.0.30
5854,org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,2.0,2.0,12,5.0,2.0.30
5855,org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle,2.0,2.0,8,3.0,2.0.30
5856,org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern,2.0,2.0,11,8.0,2.0.30
5857,org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,2.0,2.0,8,3.0,2.0.30
5858,org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,2.0,2.0,8,3.0,2.0.30
5859,org.apache.pdfbox.contentstream.operator.state.SetLineWidth,2.0,2.0,8,3.0,2.0.30
5860,org.apache.pdfbox.contentstream.operator.state.SetMatrix,2.0,2.0,11,4.0,2.0.30
5861,org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,2.0,2.0,9,4.0,2.0.30
5862,org.apache.pdfbox.contentstream.operator.text.BeginText,2.0,2.0,6,2.0,2.0.30
5863,org.apache.pdfbox.contentstream.operator.text.EndText,2.0,2.0,5,2.0,2.0.30
5864,org.apache.pdfbox.contentstream.operator.text.MoveText,2.0,1.0,13,6.0,2.0.30
5865,org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,2.0,2.0,10,4.0,2.0.30
5866,org.apache.pdfbox.contentstream.operator.text.NextLine,2.0,2.0,9,2.0,2.0.30
5867,org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,2.0,2.0,10,4.0,2.0.30
5868,org.apache.pdfbox.contentstream.operator.text.SetFontAndSize,2.0,2.0,15,6.0,2.0.30
5869,org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling,2.0,2.0,9,4.0,2.0.30
5870,org.apache.pdfbox.contentstream.operator.text.SetTextLeading,2.0,2.0,9,4.0,2.0.30
5871,org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,2.0,2.0,11,5.0,2.0.30
5872,org.apache.pdfbox.contentstream.operator.text.SetTextRise,2.0,2.0,8,4.0,2.0.30
5873,org.apache.pdfbox.contentstream.operator.text.SetWordSpacing,2.0,2.0,8,4.0,2.0.30
5874,org.apache.pdfbox.contentstream.operator.text.ShowText,2.0,2.0,7,5.0,2.0.30
5875,org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,2.0,2.0,6,5.0,2.0.30
5876,org.apache.pdfbox.contentstream.operator.text.ShowTextLine,2.0,2.0,3,2.0,2.0.30
5877,org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,2.0,2.0,6,3.0,2.0.30
5878,org.apache.pdfbox.cos.COSArray,2.0,3.0,67,67.0,2.0.30
5879,org.apache.pdfbox.cos.COSBase,1.0,3.0,5,4.0,2.0.30
5880,org.apache.pdfbox.cos.COSBoolean,2.0,3.0,12,11.0,2.0.30
5881,org.apache.pdfbox.cos.COSDictionary,2.0,4.0,155,158.0,2.0.30
5882,org.apache.pdfbox.cos.COSDictionaryTest,1.0,1.0,6,1.0,2.0.30
5883,org.apache.pdfbox.cos.COSDocument,2.0,9.0,81,68.0,2.0.30
5884,org.apache.pdfbox.cos.COSFloat,3.0,2.0,36,22.0,2.0.30
5885,org.apache.pdfbox.cos.COSInputStream,3.0,2.0,21,11.0,2.0.30
5886,org.apache.pdfbox.cos.COSInteger,3.0,5.0,17,16.0,2.0.30
5887,org.apache.pdfbox.cos.COSName,2.0,3.0,25,18.0,2.0.30
5888,org.apache.pdfbox.cos.COSNull,2.0,2.0,6,4.0,2.0.30
5889,org.apache.pdfbox.cos.COSNumber,2.0,5.0,15,12.0,2.0.30
5890,org.apache.pdfbox.cos.COSObject,2.0,5.0,20,19.0,2.0.30
5891,org.apache.pdfbox.cos.COSObjectKey,1.0,1.0,13,14.0,2.0.30
5892,org.apache.pdfbox.cos.COSObjectKeyTest,1.0,3.0,9,3.0,2.0.30
5893,org.apache.pdfbox.cos.COSOutputStream,3.0,1.0,25,14.0,2.0.30
5894,org.apache.pdfbox.cos.COSStream,3.0,2.0,54,42.0,2.0.30
5895,org.apache.pdfbox.cos.COSString,2.0,4.0,40,25.0,2.0.30
5896,org.apache.pdfbox.cos.PDFDocEncoding,1.0,1.0,16,13.0,2.0.30
5897,org.apache.pdfbox.cos.PDFDocEncodingTest,1.0,2.0,10,4.0,2.0.30
5898,org.apache.pdfbox.cos.TestCOSBase,3.0,3.0,12,4.0,2.0.30
5899,org.apache.pdfbox.cos.TestCOSFloat,5.0,14.0,34,18.0,2.0.30
5900,org.apache.pdfbox.cos.TestCOSFloat.AcceptTester,2.0,1.0,15,1.0,2.0.30
5901,org.apache.pdfbox.cos.TestCOSFloat.BaseTester,1.0,1.0,8,4.0,2.0.30
5902,org.apache.pdfbox.cos.TestCOSFloat.DoubleValueTester,2.0,1.0,6,1.0,2.0.30
5903,org.apache.pdfbox.cos.TestCOSFloat.FloatValueTester,2.0,1.0,4,1.0,2.0.30
5904,org.apache.pdfbox.cos.TestCOSFloat.HashCodeTester,2.0,1.0,7,1.0,2.0.30
5905,org.apache.pdfbox.cos.TestCOSFloat.IntValueTester,2.0,1.0,4,1.0,2.0.30
5906,org.apache.pdfbox.cos.TestCOSFloat.LongValueTester,2.0,1.0,4,1.0,2.0.30
5907,org.apache.pdfbox.cos.TestCOSFloat.WritePDFTester,2.0,1.0,16,2.0,2.0.30
5908,org.apache.pdfbox.cos.TestCOSIncrement,1.0,2.0,37,2.0,2.0.30
5909,org.apache.pdfbox.cos.TestCOSInteger,5.0,10.0,34,18.0,2.0.30
5910,org.apache.pdfbox.cos.TestCOSName,1.0,1.0,17,1.0,2.0.30
5911,org.apache.pdfbox.cos.TestCOSNumber,4.0,7.0,18,3.0,2.0.30
5912,org.apache.pdfbox.cos.TestCOSStream,3.0,1.0,32,11.0,2.0.30
5913,org.apache.pdfbox.cos.TestCOSString,4.0,9.0,57,21.0,2.0.30
5914,org.apache.pdfbox.cos.TestCOSUpdateInfo,1.0,1.0,9,1.0,2.0.30
5915,org.apache.pdfbox.cos.UnmodifiableCOSDictionary,3.0,2.0,6,3.0,2.0.30
5916,org.apache.pdfbox.debugger.PDFDebugger,6.0,2.0,284,165.0,2.0.30
5917,org.apache.pdfbox.debugger.PDFDebugger.DocumentOpener,1.0,1.0,10,4.0,2.0.30
5918,org.apache.pdfbox.debugger.colorpane.CSArrayBased,1.0,1.0,18,15.0,2.0.30
5919,org.apache.pdfbox.debugger.colorpane.CSDeviceN,1.0,2.0,31,6.0,2.0.30
5920,org.apache.pdfbox.debugger.colorpane.CSIndexed,1.0,2.0,37,6.0,2.0.30
5921,org.apache.pdfbox.debugger.colorpane.CSSeparation,1.0,1.0,51,10.0,2.0.30
5922,org.apache.pdfbox.debugger.colorpane.ColorBarCellRenderer,1.0,1.0,4,1.0,2.0.30
5923,org.apache.pdfbox.debugger.colorpane.DeviceNColorant,1.0,3.0,7,7.0,2.0.30
5924,org.apache.pdfbox.debugger.colorpane.DeviceNTableModel,2.0,2.0,9,13.0,2.0.30
5925,org.apache.pdfbox.debugger.colorpane.IndexedColorant,1.0,2.0,13,7.0,2.0.30
5926,org.apache.pdfbox.debugger.colorpane.IndexedTableModel,2.0,2.0,9,14.0,2.0.30
5927,org.apache.pdfbox.debugger.flagbitspane.AnnotFlag,2.0,2.0,16,4.0,2.0.30
5928,org.apache.pdfbox.debugger.flagbitspane.EncryptFlag,2.0,2.0,14,4.0,2.0.30
5929,org.apache.pdfbox.debugger.flagbitspane.FieldFlag,2.0,1.0,12,15.0,2.0.30
5930,org.apache.pdfbox.debugger.flagbitspane.Flag,1.0,4.0,4,1.0,2.0.30
5931,org.apache.pdfbox.debugger.flagbitspane.FlagBitsPane,1.0,1.0,16,9.0,2.0.30
5932,org.apache.pdfbox.debugger.flagbitspane.FlagBitsPaneView,1.0,1.0,19,4.0,2.0.30
5933,org.apache.pdfbox.debugger.flagbitspane.FontFlag,2.0,2.0,15,4.0,2.0.30
5934,org.apache.pdfbox.debugger.flagbitspane.PanoseFlag,2.0,5.0,31,16.0,2.0.30
5935,org.apache.pdfbox.debugger.flagbitspane.SigFlag,2.0,2.0,8,4.0,2.0.30
5936,org.apache.pdfbox.debugger.fontencodingpane.FontEncodingPaneController,1.0,1.0,12,6.0,2.0.30
5937,org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView,1.0,2.0,30,7.0,2.0.30
5938,org.apache.pdfbox.debugger.fontencodingpane.FontEncodingView.GlyphCellRenderer,1.0,1.0,37,8.0,2.0.30
